,name,location,formatted_address,icon,place_id,price_level,lat,lon,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
6764,Da Paolo Gastronomia - Vivo,"1 Harbourfront Walk, #01-108 Vivocity, Singapore, Singapore 098585 Singapore","1 HarbourFront Walk, #01-108 VivoCity, Singapore 098585",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJ6YkZYRYZ2jERBdJhMJnRbV4,2,1.2634725,103.8225241,None,,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6770,Ztp Ginseng Birdnest Singapore,"1 Harbour Front Walk, #b2-27a Vivo City, Singapore, Singapore 098585 Singapore","1 HarbourFront Walk, #B2-12, Singapore 098585",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,ChIJVT30pVgZ2jERJEKOcDuBVyE,nil,1.2647884,103.822894,None,nil,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6771,Crave Nasi Lemak,"107 North Bridge Road Floor #B2-K07 Funan Mall, Singapore 179105 Singapore",nil,nil,nil,nil,nil,nil,None,nil,nil,nil,nil,nil,4.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6776,Golden Chariot Indian Restaurant,"482 Serangoon Road Unit # 01-01, Singapore 218149 Singapore","482 Serangoon Rd, Singapore 218149",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJPxC6aM8Z2jERAtJWfLkwreE,nil,1.313843,103.857198,None,,nil,nil,nil,nil,4.5,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6779,Seoulroll,"252 North Bridge Road #1-58 Raffles City Shopping Centre, Singapore 179103 Singapore","252 North Bridge Road 01-17, Raffles City Shopping Centre, Singapore 179103",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJp4zYJ6QZ2jERqGdrsL7QL2Q,3,1.2946453,103.8531695,None,nil,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6780,Milk &amp; Honey Cafe,"2 Bukit Batok West Ave 7 #01-01/02/03 Bukit Batok Hometeam NS Clubhouses, Singapore 659003 Singapore","2 Bukit Batok West Ave 7, Singapore 659003",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJE9VNe8sR2jERJFQSI-uFhEE,nil,1.3658026,103.7497545,None,,nil,nil,nil,nil,4.5,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6783,MOS Burger,"238 Thomson Road Novena Square #01-54/55 Jin Novena, Singapore 307683 Singapore","238 Thomson Rd, #01 - 54 / 55, Singapore 307683",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJnzw-g-cZ2jERjMAKzMEn5sU,1,1.3193176,103.8442007,None,,nil,nil,nil,nil,4.0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6785,You Ji,"30 Seng Poh Road Tiong Bahru Market #02-10, Singapore 168898 Singapore","30 Seng Poh Rd, #02-10 Food Centre, Singapore 168898",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJA0dI-nkZ2jERC-Cg9tWXa1w,nil,1.2848425,103.8326382,None,,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6787,Sakae Sushi,"30 Sembawang Drive Sun Plaza #02-21 Sun Plaza, Singapore 757713 Singapore","30 Sembawang Dr, #02-23, Singapore 757713",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJfbpQLn0T2jER8zc2XEijLAg,1,1.4482678,103.8196887,"Sun11:30 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat11:30 AM - 10:00 PM",,nil,nil,nil,nil,4.5,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6788,Old Long House Popiah,"Block 22 Lorong 7 Toa Payoh #01-03 Kim Keat Palm Market and Food Centre, Singapore Singapore","22 Lor 7 Toa Payoh, #01-03, Singapore 310022",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJY54krnoX2jEReT1Sbq3bfOw,nil,1.3355722,103.8573281,"Sun06:00 AM - 2:00 PM,Tue06:00 AM - 2:00 PM,Wed06:00 AM - 2:00 PM,Thu06:00 AM - 2:00 PM,Fri06:00 AM - 2:00 PM,Sat06:00 AM - 2:00 PM",,nil,nil,nil,nil,4.5,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6790,Tian Tian Yuan Dessert House,"#02-15 Tiong Bahru Market 30 Seng Poh Road, Singapore 168733 Singapore","#02-15 Tiong Bahru Market, 30 Seng Poh Rd, Singapore 168898",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJe0hI93kZ2jERpuiy2dn56_c,1,1.2847359,103.8324103,None,nil,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6791,Zheng Xing Mei Shi,"270 Queen Street Albert Centre #01-64 Albert Centre Market And Food Centre, Singapore 180270 Singapore","269 Waterloo St, Singapore",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJhy4MHJIZ2jER1Hrt3EmnFQY,nil,1.3011858,103.8539983,None,nil,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6794,Yu Pin Steam Seafood Pte Limited,"470 North Bridge Road Bugis Cube #01-05 Bugis Cube, Singapore 188735 Singapore","470 North Bridge Rd, #01-05 Bugis Cube, Singapore 188735",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJr3TWTaUZ2jERBlyPmUah8DQ,nil,1.2981442,103.8555919,None,,nil,nil,nil,nil,4.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6796,Oceanspoon Dining,"249 Sembawang Road Sembawang Country Club Sembawang Country Club, Singapore 758352 Singapore","249 Sembawang Rd, Singapore 758352",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJucjD4T8Q2jERqyYgKlBNbao,nil,1.4171211,103.8156749,None,,nil,nil,nil,nil,4.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6798,The King Louis Grill and Bar,"1 Harbourfront Walk Vivo City #03-07a, Singapore 098585 Singapore","1 HarbourFront Walk, #03-07A VivoCity, Singapore 098585",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,ChIJD798X1gZ2jERguTCLD_GOhw,nil,1.2635508,103.8233609,"Sun12:00 PM - 10:00 PM,Mon12:00 PM - 10:00 PM,Tue12:00 PM - 10:00 PM,Wed12:00 PM - 10:00 PM,Thu12:00 PM - 10:00 PM,Fri12:00 PM - 11:00 PM,Sat12:00 PM - 11:00 PM",,30,30,30,30,3.0,98,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6801,Saboten,"100 Tras Street 100 am #03-13, Singapore 079027 Singapore","100 Tras St, Singapore 079027",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,ChIJvUUHX2sZ2jERFw3Rybv_wwY,nil,1.2750063,103.8435656,None,nil,nil,nil,nil,nil,3.5,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6804,Ramen &amp; Tonkatsu Ma Maison,"11 Stamford Road Eden Residences Capitol #B2-51, Capitol Piazza, Singapore 178884 Singapore","13 Stamford Rd, #B2-51 Capitol Singapore, Singapore 178884",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ42dXpaYZ2jERubGr6156lIs,nil,1.2931795,103.8513388,"Sun11:30 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat11:30 AM - 10:00 PM",,nil,nil,nil,nil,3.5,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6807,French Corner,"74 Race Course Road, Singapore 218574 Singapore","74 Race Course Rd, Singapore 218574",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJZRIGSMcZ2jERAcTBUd6tgOA,2,1.308908,103.851316,None,nil,nil,nil,nil,nil,4.5,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6808,Tung Lok Signatures,"177 River Valley Road Liang Court, Singapore 179030 Singapore","6 Eu Tong Sen St, #02-88, Singapore 059817",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ18C-mwoZ2jER50L7gNtiT7w,3,1.2892804,103.8465716,None,,nil,nil,nil,nil,3.5,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6809,Subway,"313 Orchard Road #3-01 313 @ Somerset, Singapore 238895 Singapore","313 Orchard Rd, #B3-01, Singapura 238895",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJc6zIfr0Z2jERnBvtp3NY7yc,2,1.300898,103.838361,None,nil,nil,nil,nil,nil,3.5,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6811,Cafe Ma Maison,"333A Orchard Road Mandarin Gallery Floor 02 Unit 33 34, Singapore 238897 Singapore","333A Orchard Rd, #02-33/34, Singapore 238897",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJWald0uYZ2jERle-USEGu5u0,nil,1.3022297,103.8363746,"Sun11:00 AM - 9:00 PM,Mon11:00 AM - 9:00 PM,Tue11:00 AM - 9:00 PM,Wed11:00 AM - 9:00 PM,Thu11:00 AM - 9:00 PM,Fri11:00 AM - 9:00 PM,Sat11:00 AM - 9:00 PM",,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6812,Wok Wei,"14 Scotts Road Far East Plaza 14 Scotts Road #05-100/101, Singapore 228213 Singapore","14 Scotts Rd, #05-100/101, Singapore 228213",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ31jv35gZ2jER0iSa2zneJzY,nil,1.3071502,103.8337132,None,,nil,nil,nil,nil,4.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6814,Unique Seafood Market,"200 Turf Club Road #03-04 the Grandstand, Singapore 287994 Singapore","200 Turf Club Rd, Singapore 287994",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,ChIJqwSCJZcQ2jEROQbY3GGnjLk,nil,1.3376735,103.7936522,None,,nil,nil,nil,nil,4.0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6816,PhoPho,"123 Telok Ayer Street, Singapore 068592 Singapore","123 Telok Ayer St, Singapore 068592",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJF0LHpg0Z2jERcNtsu9X2J6c,2,1.2811642,103.8480812,None,,40,45,40,40,3.5,9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6818,Georges Madbar &amp; Grill,"687 East Coast Road Frankel Estate, Singapore 459055 Singapore","687 East Coast Road, Frankel Ave, Singapore 459055",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,ChIJy0BBiqMi2jER_T92TGlRfGo,2,1.3117336,103.9217308,None,nil,nil,nil,nil,nil,3.5,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6819,Niigata Bento,"1 Tampines Walk #01-86 Our Tampines Hub, Singapore 528523 Singapore","1 Tampines Walk, Singapore 528523",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJu487hQ092jER1DJRGc0isoE,nil,1.3536067,103.9403839,None,nil,nil,nil,nil,nil,4.0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6820,Subway,"1 Vista Exchange Green The Star #B1-34/38 The Star Vista, Singapore 138617 Singapore","Vista Exchange Green, Unit #01 - 22, Singapore 138617",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ9aXLwEIa2jERyHwk1kYk07o,2,1.3068594,103.7879521,None,,nil,nil,nil,nil,4.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6824,Ding Heng,"967A Upper Changi Road North Changi Garden, Singapore 507666 Singapore","Blk 5 Changi Village Rd, #01-2021, Singapore 500005",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJAQAAAPk82jERbgZ2G2qFSzQ,nil,1.3888091,103.9868486,"Sun11:00 AM - 3:00 PM5:00 PM - 10:00 PM,Mon11:00 AM - 3:00 PM5:00 PM - 10:00 PM,Tue11:00 AM - 3:00 PM5:00 PM - 10:00 PM,Wed11:00 AM - 3:00 PM5:00 PM - 10:00 PM,Thu11:00 AM - 3:00 PM5:00 PM - 10:00 PM,Fri11:00 AM - 3:00 PM5:00 PM - 10:00 PM,Sat11:00 AM - 3:00 PM5:00 PM - 10:00 PM",,nil,nil,nil,nil,3.5,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6827,Segamat Tze Char,"Circuit road blk 79 Ste #01-45, Singapore 370079 Singapore","79 Circuit Rd, #01-45, Singapore 370077",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJn1vJTooX2jERjFL1qLkabOc,nil,1.3267307,103.8850672,None,nil,nil,nil,nil,nil,4.5,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6832,Min Ji Laksa,"29 Bendemeer Rd Bendemeer Market &amp; Food Centre, #01-31, Singapore 330029 Singapore","29 Bendemeer Rd, #01-31, Singapore 330029",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJKbANNNIZ2jERep_esSvdMzg,nil,1.3193373,103.8630249,None,nil,nil,nil,nil,nil,4.5,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6833,Sakunthala’s,"2 Telok Blangah Way Safra Clubhouse (Mount Faber) SAFRA Mount Faber, Singapore 098803 Singapore","2 Telok Blangah Way #01-07 SAFRA, Mount Faber, Singapore 098803",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ4w9Rwbwb2jERbaN2kBT1Eqw,nil,1.2771481,103.8175278,"Sun10:30 AM - 10:00 PM,Mon10:30 AM - 10:00 PM,Tue10:30 AM - 10:00 PM,Wed10:30 AM - 10:00 PM,Thu10:30 AM - 10:00 PM,Fri10:30 AM - 10:00 PM,Sat10:30 AM - 10:00 PM",,nil,nil,nil,nil,5.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6835,Suki Thai,"5001 Beach Road Golden Mile Complex 02 45 46 47 48 Golden Mile Complex, Singapore 199588 Singapore","5001 Beach Rd, #02-45 Golden Mile Complex, Singapore 199588",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJq6rqfrMZ2jERXrsUUiEnx0I,2,1.3029947,103.8652369,None,,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6836,Yong Chai Chicken Rice,"5 Coronation Road Coronation Arcade #01-02 Coronation Arcarde, Singapore 269406 Singapore","5 Coronation Rd, #01-02, Singapore 269406",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJWS6oIwYa2jERdHSOmwm8tV4,nil,1.3234289,103.8105257,None,nil,nil,nil,nil,nil,4.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6838,GreenDot,"9 Bishan Place Junction 8 Shopping Centre Junction 8 #B1-24/24A, Singapore 579837 Singapore","9 Bishan Pl, #B1-24 24A, Singapore 579837",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJbbGNIFwX2jERe4fkY8Vbh9E,2,1.3505028,103.8485932,None,,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6839,Food in the Woods,"532 Ang Mo Kio Avenue 10 #01-2495 Cheng San Centre, Singapore 560532 Singapore","532 Ang Mo Kio Ave 10, Singapore 560532",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJb3zzSu0X2jERac2W73ZFyTY,nil,1.3736377,103.8546048,None,nil,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6840,Ducatus Cafe,"138 Robinson Road Oxley Tower, Singapore 068906 Singapore","138 Robinson Rd, #01-01 Oxley Tower, Singapore 068901",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJ75_iZxIZ2jERHVAOA873yFo,nil,1.2784458,103.848261,None,,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6841,Mex Out,"238 Thomson Road Novena Square # 02 26 27, Singapore 307683 Singapore","238 Thomson Rd, #02-26/27, Singapore 307683",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJlzTLcOcZ2jERbcTJjTdsA_8,nil,1.3205699,103.8438426,None,nil,nil,nil,nil,nil,4.0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6847,Sushi Kou,"11 Cavenagh Road #01-13/14 Holiday Inn Orchard City Centre, Singapore 229616 Singapore","11 Cavenagh Rd, #01-13/14, Singapore 229616",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJo6N15QQZ2jERJ5_FE4mKCU4,4,1.3020479,103.8412807,"Sun12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Mon12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Wed12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Thu12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Fri12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Sat12:00 PM - 3:00 PM6:00 PM - 10:30 PM",,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6848,Tokkuri Japanese Restaurant,"12 Gopeng St 01-16 Icon Village, Singapore 078877 Singapore","12 Gopeng St, Singapore 078877",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJHc46qmwZ2jERgVc79M9jJkc,nil,1.2753422,103.8444743,None,,nil,nil,nil,nil,5.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6852,Hana K-Food,"238 Thomson Road #02-25 Novena Square, Singapore 307683 Singapore","#02-25 Velocity @ Novena Square, 238 Thomson Rd, Singapore 307683",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJo-LtaecZ2jERmJvc6E7mIy0,nil,1.3206431,103.8437821,None,nil,nil,nil,nil,nil,4.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6854,McDonald's,"21 Choa Chu Kang Avenue 4 Lot One 4 #01-262 Yew Tee Square, Singapore 680623 Singapore","624 Choa Chu Kang Street 62, #01-262/264, Yew Tee Square, Singapore 680624",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJQfPiz-8R2jER5uaRyKd8vDE,1,1.3978193,103.7470703,None,,nil,nil,nil,nil,3.5,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6855,Marco Marco,"9 North Buona Vista Drive #01-05 the Metropolis The Metropolis, Singapore 138588 Singapore","9 N Buona Vista Dr, Singapore 138588",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJTQn6SEIa2jERQLJKjg8U-D8,nil,1.3059208,103.7915907,None,,nil,nil,nil,nil,3.5,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6856,Seafood 18,"2 Lor Liew Lian, Singapore 531002 Singapore","2 Lor Lew Lian, #01-56, Singapore 531002",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJOxxD19cX2jERjGAc3M0X0go,nil,1.3509163,103.8758838,None,,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6858,Baskin Robbins,"1 Maritime Square #01-100 Harbourfront Centre Harbourfront Center, Singapore 099253 Singapore","1 Maritime Square, #01-100, Singapore 099253",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ_YAraOIb2jERoe0dVJvMaRs,nil,1.2642086,103.820199,None,nil,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6861,Xi de Li,"Blk 448 Clementi Ave 3, #01-39, Market &amp; Food Centre, Singapore 120488 Singapore","448 Clementi Ave 3, Singapore 120448",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJD8PLCI4a2jER14wwDKu9ik0,nil,1.3133068,103.76449,None,,nil,nil,nil,nil,4.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6863,Guzman y Gomez - Mapletree Business City,"40 Pasir Panjang Rd, Singapore, Singapore 117383 Mapletree Business City, Singapore 117383 Singapore","02-35, 40 Pasir Panjang Road Mapletree Business City, Singapore 117383",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJp-0mz8Ab2jER4ir0ibRiN7s,2,1.2754187,103.8002978,"Mon10:30 AM - 8:30 PM,Tue10:30 AM - 8:30 PM,Wed10:30 AM - 8:30 PM,Thu10:30 AM - 8:30 PM,Fri10:30 AM - 8:30 PM",,nil,nil,nil,nil,4.0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6864,Curry Village,"36 Boat Quay, Singapore 049825 Singapore","36 Boat Quay, Singapore 049825",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJx0PQY3kZ2jERLapL7QU5IWw,nil,1.2863062,103.849635,None,nil,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6865,Luk Tung,"51 Cuppage Road 51 Cuppage Road, Singapore 229469 Singapore","51 Cuppage Rd, #01-08, Singapore 229469",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJgQijKZEZ2jERfBmtpOQzzz4,nil,1.3029052,103.8401794,None,nil,nil,nil,nil,nil,5.0,1 review,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6866,Sin Heng Kee,"Blk 6, Jalan Bukit Merah #01-34, ABC Brickworks Food Centre, Singapore 150006 Singapore","6 Jalan Bukit Merah, Singapore 150006",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJKY77qdYb2jERgrqa1URSZIM,1,1.2869047,103.8081551,None,nil,nil,nil,nil,nil,4.0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
