,name,location,formatted_address,icon,place_id,price_level,lat,lon,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
1207,Lombardo's Burger Singapore,"15 Duxton Road, Singapore 089481 Singapore","15 Duxton Rd, Singapore 089481",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJF36iv9YZ2jERADa2kCXOsmo,nil,1.2797794,103.8434123,"Sun11:30 AM - 10:30 PM,Tue11:30 AM - 10:30 PM,Wed11:30 AM - 10:30 PM,Thu11:30 AM - 2:30 PM,Sat11:30 AM - 10:30 PM",,50,50,45,50,4.5,30,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,The Eight,"80 Bras Basah Road Level 8, Fairmont Hotel, Singapore 189560 Singapore","80 Bras Basah Rd, Singapore 189560",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,ChIJ-Uph06UZ2jERjKQsyQgfltg,nil,1.2942639,103.8537619,"Sun08:00 AM - 9:30 PM,Mon08:00 AM - 9:30 PM,Tue08:00 AM - 9:30 PM,Wed08:00 AM - 9:30 PM,Thu08:00 AM - 9:30 PM,Fri08:00 AM - 9:30 PM,Sat08:00 AM - 9:30 PM",,nil,nil,nil,nil,5.0,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,Combat Durian,"249 Balestier Road Goh Chor Tua Pek Kong Temple, Singapore 329708 Singapore","249 Balestier Rd, Singapore 329708",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_dharma-71.png,ChIJ7YdNY9kZ2jERBDxPcYiLwsA,nil,1.3217914,103.852717,None,,45,40,40,nil,4.5,50,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,Tea Bone Zen Mind,"98 Emerald Hill Road, Singapore 229374 Singapore","18 Jln Lada Puteh, Singapore 228930",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,ChIJN72BA3cZ2jERgMrU3j6lLHY,nil,1.3052166,103.8347118,"Mon11:00 AM - 7:00 PM,Tue11:00 AM - 7:00 PM,Wed11:00 AM - 7:00 PM,Thu11:00 AM - 7:00 PM,Fri11:00 AM - 7:00 PM,Sat11:00 AM - 7:00 PM",,45,50,40,nil,5.0,25,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,Dolce Tokyo,"200 Victoria Street Bugis Junction #03-10h, Singapore 188021 Singapore","200 Victoria St, #03-10H, Singapore 188021",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJE1GevroZ2jERf5d6iV_lJv8,nil,1.2998672,103.8558018,None,,40,40,35,40,4.0,81,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,Kausmo,"1 Scotts Road #03-07 Shaw Centre, Singapore 228208 Singapore","1 Scotts Rd, #03 - 07, Singapore 228208",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJPd6AnO4Z2jERcT9poPcD8vk,nil,1.3064282,103.8318919,None,,50,50,45,45,5.0,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,Torasho Ramen &amp; Charcoal Bar,"32 Tras Street Singapore, Singapore 078972 Singapore","32 Tras St, Singapore 078972",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJrYjYbLEZ2jERkRdE-lAvYrU,nil,1.2786937,103.844258,None,,45,40,45,45,4.5,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1637,Jimoto Ya,"3 Pickering Street, #01-44/45 Nankin Row, Singapore 048660 Singapore","3 Pickering Street, Nanking Row, 01-44/01-45 (opp Hong Lim Complex), Singapore 048660",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJx2bIkQwZ2jERAhffFdNN4_4,nil,1.2845253,103.8470003,None,,40,40,35,40,4.5,31,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,5 Senses,"799 New Upper Changi Road Bedok Point #02-30/31 Bedok Point, Singapore 467351 Singapore","799 New Upper Changi Rd, Singapore 467351",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJAQDAorQi2jERfDp1ymD96t8,nil,1.3249396,103.9324355,None,,45,40,40,40,4.0,34,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,YIXING XUAN TEAHOUSE,"78 Tanjong Pagar Road, Singapore 088499 Singapore","78 Tg Pagar Rd, Singapore 088499",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJ4yb4RG0Z2jERvGQ5rb9DTto,nil,1.27854,103.8438256,"Sun10:00 AM - 7:00 PM,Mon10:00 AM - 9:00 PM,Tue10:00 AM - 9:00 PM,Wed10:00 AM - 9:00 PM,Thu10:00 AM - 9:00 PM,Fri10:00 AM - 9:00 PM,Sat10:00 AM - 9:00 PM",,50,50,45,nil,4.5,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
