,name,location,lat,lon,formatted_address,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
0,BAM! Restaurant,"38 Tras Street #38-40, Singapore 078977 Singapore",nil,nil,nil,"Tue12:00 PM - 2:00 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:00 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:00 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:00 PM6:00 PM - 10:30 PM,Sat12:00 PM - 2:00 PM6:00 PM - 10:30 PM",,45,45,40,45,4.5,226,True,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Entre-Nous creperie,"27 Seah Street # 01-01, Singapore 188383 Singapore",nil,nil,nil,"Sun11:00 AM - 4:30 PM,Tue12:00 PM - 2:30 PM6:00 PM - 9:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 9:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 9:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 9:30 PM,Sat11:00 AM - 3:00 PM6:00 PM - 9:30 PM",,50,50,45,40,5.0,"1,555",True,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,The Courtyard,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore",nil,nil,nil,"Sun10:30 AM - 6:00 PM,Mon10:30 AM - 6:00 PM,Tue10:30 AM - 6:00 PM,Wed10:30 AM - 6:00 PM,Thu10:30 AM - 6:00 PM,Fri10:30 AM - 6:00 PM,Sat10:30 AM - 6:00 PM",,40,45,40,45,4.5,"1,450",True,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Portman's Bar,"6 Raffles Boulevard Marina Square Level 4 At Parkroyal Collection Marina Bay, Singapore 039594 Singapore",nil,nil,nil,"Sun10:30 AM - 12:00 AM,Mon10:30 AM - 12:00 AM,Tue10:30 AM - 12:00 AM,Wed10:30 AM - 12:00 AM,Thu10:30 AM - 12:00 AM,Fri10:30 AM - 12:00 AM,Sat10:30 AM - 12:00 AM",,45,45,45,nil,5.0,270,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Grand Shanghai Restaurant,"390 Havelock Road King's Centre, Singapore 169662 Singapore",nil,nil,nil,"Sun11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Sat6:00 PM - 10:00 PM",,40,40,35,40,5.0,641,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bar-Roque Grill,"165 Tanjong Pagar Road #01-00 Amara Singapore, Singapore 088539 Singapore",nil,nil,nil,"Sun11:00 AM - 3:00 PM5:30 PM - 9:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat6:00 PM - 10:30 PM",nil,45,45,45,45,4.5,733,True,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HENRI,"48 Pekin Street, Singapore 048778 Singapore",nil,nil,nil,"Sun08:00 AM - 5:00 PM,Mon08:00 AM - 10:00 PM,Tue08:00 AM - 10:00 PM,Wed08:00 AM - 10:00 PM,Thu08:00 AM - 10:00 PM,Fri08:00 AM - 10:00 PM,Sat08:00 AM - 10:00 PM",,nil,nil,nil,nil,4.5,4,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Rosso Vino,"15 Merbau Road Next Robertson Quay Hotel, Singapore 239032 Singapore",nil,nil,nil,"Sun11:30 AM - 12:00 AM,Mon3:00 PM - 12:00 AM,Tue3:00 PM - 12:00 AM,Wed3:00 PM - 12:00 AM,Thu3:00 PM - 12:00 AM,Fri3:00 PM - 12:00 AM,Sat3:00 PM - 12:00 AM",,45,45,40,45,4.5,"1,946",True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,The Mind Cafe,"60A Prinsep Street, Singapore 188664 Singapore",nil,nil,nil,"Sun11:00 AM - 02:00 AM,Mon11:00 AM - 02:00 AM,Tue11:00 AM - 02:00 AM,Wed11:00 AM - 02:00 AM,Thu11:00 AM - 12:00 AM,Fri11:00 AM - 06:00 AM,Sat11:00 AM - 12:00 AM",,35,40,40,nil,5.0,409,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Paulaner Bräuhaus Singapore,"9 Raffles Boulevard Millenia Walk #01-01 Millenia Walk, Singapore 039596 Singapore",nil,nil,nil,"Sun11:00 AM - 12:00 AM,Mon11:00 AM - 12:00 AM,Tue11:00 AM - 12:00 AM,Wed11:00 AM - 12:00 AM,Thu11:00 AM - 01:00 AM,Fri11:00 AM - 01:00 AM,Sat11:00 AM - 12:00 AM",,40,40,35,40,4.5,"1,027",True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
