,name,location,working_hours,price_range,tags,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt
13,Josephine - French Cuisine &amp; Wine Bar,"97 Amoy Street, Singapore 069917 Singapore","Mon11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Tue11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Wed11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Thu11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Fri11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Sat11:45 AM - 2:00 PM6:00 PM - 10:30 PM",nil,French,50,50,50,nil,5.0,362
14,Positano Risto,"66 Bussorah Street, Singapore 199479 Singapore","Sun11:30 AM - 9:30 PM,Mon11:30 AM - 9:30 PM,Tue11:30 AM - 9:30 PM,Wed11:30 AM - 9:30 PM,Thu11:30 AM - 9:30 PM,Fri11:30 AM - 10:30 PM,Sat11:30 AM - 10:30 PM",nil,"Italian,Pizza,European",45,45,45,40,5.0,"1,766"
15,NOX - Dine In The Dark,"83 Club Street, Singapore 199546 Singapore","Sun6:00 PM - 12:00 AM,Tue6:00 PM - 12:00 AM,Wed6:00 PM - 12:00 AM,Thu6:00 PM - 12:00 AM,Fri6:00 PM - 12:00 AM,Sat6:00 PM - 12:00 AM",,"European,Fusion,Vegetarian Friendly",45,45,40,45,4.5,"2,023"
16,Hua Ting Restaurant,"442 Orchard Road Orchard Hotel Singapore Level 2 Orchard Hotel Singapore, Singapore 238879 Singapore","Sun11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Mon11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Sat11:00 AM - 2:30 PM6:00 PM - 10:00 PM",nil,"Chinese,Asian,Healthy",45,40,35,35,4.5,679
17,Whitegrass,"30 Victoria Street #01-26 Chijmes, Singapore 187996 Singapore","Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:30 PM",nil,"French,Fusion,Vegetarian Friendly",45,45,45,45,4.5,418
18,Chef's Table by Chef Stephan Zoisl,"61 Tras Street, Singapore 079000 Singapore","Tue6:00 PM - 12:00 AM,Wed6:00 PM - 12:00 AM,Thu6:00 PM - 12:00 AM,Fri12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Sat6:00 PM - 12:00 AM",,"French,European,Contemporary",50,50,45,45,5.0,445
19,Fat Belly Social Steakhouse,"10 Jalan Serene #01-04 Serene Centre, Singapore 069620 Singapore","Mon11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Tue11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Wed11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Thu11:30 AM - 3:30 PM5:30 PM - 11:00 PM,Fri11:30 AM - 3:30 PM5:30 PM - 11:00 PM,Sat5:30 PM - 11:00 PM",,"Steakhouse,Gluten Free Options",50,50,45,nil,5.0,99
20,Colony,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia, Singapore 039799 Singapore","Sun12:00 PM - 3:30 PM6:30 PM - 10:30 PM,Mon12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Tue12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Wed12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Thu12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Fri12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Sat12:00 PM - 5:30 PM6:30 PM - 10:30 PM",nil,"Chinese,Japanese,Indian",45,45,45,45,4.5,"2,685"
21,Merci Marcel Club Street,"9 Club Street, Singapore 069404 Singapore","Sun08:00 AM - 11:00 PM,Mon08:00 AM - 12:00 AM,Tue08:00 AM - 12:00 AM,Wed08:00 AM - 12:00 AM,Thu08:00 AM - 12:00 AM,Fri08:00 AM - 12:00 AM,Sat08:00 AM - 12:00 AM",nil,"French,European,Healthy",45,45,45,nil,5.0,198
22,Shivam Restaurant,"87 Syed Alwi Road, Singapore 207666 Singapore","Sun11:30 AM - 11:30 PM,Mon11:30 AM - 11:30 PM,Tue11:30 AM - 11:30 PM,Wed11:30 AM - 11:30 PM,Thu11:30 AM - 11:30 PM,Fri11:30 AM - 11:30 PM,Sat11:30 AM - 11:30 PM",,"Indian,Asian,Vegetarian Friendly",45,45,45,nil,5.0,188
23,Origin Grill,"22 Orange Grove Road Shangri-La Hotel Tower Wing, Lobby Level, Singapore 258350 Singapore","Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",nil,"European,Contemporary,Fusion",45,45,45,45,5.0,745
24,The Rose Veranda,"22 Orange Grove Road, Shangri-La Hotel Tower Wing, Mezzanine Level, Singapore 258350 Singapore","Sun1:00 PM - 5:00 PM,Mon1:00 PM - 5:00 PM,Tue1:00 PM - 5:00 PM,Wed1:00 PM - 5:00 PM,Thu1:00 PM - 5:00 PM,Fri1:00 PM - 5:00 PM,Sat1:00 PM - 5:00 PM",,"International,Vegetarian Friendly,Gluten Free Options",40,45,40,45,4.5,369
25,Summer Pavilion,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Singapore 039799 Singapore","Sun11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Mon11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Tue11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Wed11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Thu11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Fri11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Sat11:30 AM - 2:30 PM6:30 PM - 10:30 PM",nil,"Chinese,Asian,Cantonese",45,50,40,50,4.5,963
26,Dolce Vita,"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore","Sun12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Sat12:00 PM - 2:30 PM6:30 PM - 10:30 PM",nil,"Italian,European,Vegetarian Friendly",45,45,40,45,4.5,835
27,Song Garden,"122 Middle Road Mercure Singapore Bugis Level 2, Singapore 188973 Singapore","Sun10:00 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat10:00 AM - 10:00 PM",nil,"Chinese,Asian,Cantonese",45,45,40,nil,5.0,277
28,Cherry Garden,"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore","Sun11:00 AM - 3:30 PM6:30 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:30 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:30 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:30 PM - 10:00 PM,Sat11:00 AM - 3:30 PM6:30 PM - 10:00 PM",,"Chinese,Asian,Cantonese",45,45,40,45,4.5,820
29,Beast &amp; Butterflies,"90 Robertson Quay, Singapore 238259 Singapore","Sun06:30 AM - 11:00 PM,Mon06:30 AM - 11:00 PM,Tue06:30 AM - 11:00 PM,Wed06:30 AM - 11:00 PM,Thu06:30 AM - 11:00 PM,Fri06:30 AM - 11:30 PM,Sat06:30 AM - 11:30 PM",,"Asian,Fusion,Singaporean",40,40,40,45,4.5,872
30,Rakuya,"89 East Coast Road, Singapore 428790 Singapore","Sun12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Tue12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Wed12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Thu12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Fri12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Sat12:00 PM - 3:00 PM6:00 PM - 9:30 PM",,"Japanese,Bar,Sushi",35,35,35,nil,4.0,21
31,Oscar's,"2 Temasek Boulevard Conrad Centennial, Lobby Level, Singapore 038982 Singapore","Sun07:00 AM - 10:30 PM,Mon07:00 AM - 10:30 PM,Tue07:00 AM - 10:30 PM,Wed07:00 AM - 10:30 PM,Thu07:00 AM - 10:30 PM,Fri07:00 AM - 10:30 PM,Sat07:00 AM - 10:30 PM",nil,"International,Singaporean,Vegetarian Friendly",40,45,35,40,4.5,"2,106"
32,Fu Lin Men Chinese Restaurant (SRC),"B Connaught Drive, S179682 Level 2, Singapore Recreation Club, Singapore 179682 Singapore","Sun11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Mon11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Tue11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Wed11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Thu11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Fri11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Sat11:30 AM - 3:00 PM5:30 PM - 10:00 PM",,"Chinese,Asian,Healthy",45,50,45,nil,5.0,188
33,Lobby Lounge at Conrad Centennial Singapore,"2 Temasek Boulevard Conrad Centennial Singapore, Singapore 038982 Singapore","Sun11:00 AM - 10:30 PM,Mon08:00 AM - 10:30 PM,Tue08:00 AM - 10:30 PM,Wed08:00 AM - 10:30 PM,Thu08:00 AM - 10:30 PM,Fri08:00 AM - 10:30 PM,Sat11:00 AM - 10:30 PM",,"International,Wine Bar,Singaporean",40,45,40,45,4.5,559
34,Fat Belly,"10 Jalan Serene Serene Centre Serence Centre #01-04, Singapore 258748 Singapore","Sun6:00 PM - 10:00 PM,Mon6:00 PM - 10:00 PM,Tue6:00 PM - 10:00 PM,Thu6:00 PM - 10:00 PM,Fri6:00 PM - 11:00 PM,Sat6:00 PM - 11:00 PM",,"Steakhouse,European",50,45,45,nil,5.0,281
35,Fu Lin Men Cantonese Dining,"21 Amber Road Chinese Swimming Club, Singapore 439870 Singapore","Sun10:30 AM - 3:00 PM5:30 PM - 10:00 PM,Mon11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Tue11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Wed11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Thu11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Fri11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Sat10:30 AM - 3:00 PM5:30 PM - 10:00 PM",nil,"Chinese,Asian,Cantonese",50,50,45,nil,5.0,288
