,name,location,working_hours,price_range,tags,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt
620,Bayswater Kitchen,"2 Keppel Bay Vista Marina At Keppel Bay Marina at Keppel Bay, Singapore 098382 Singapore","Sun11:00 AM - 3:30 PM6:00 PM - 10:00 PM,Tue11:30 AM - 3:00 PM6:00 PM - 10:00 PM,Wed11:30 AM - 3:00 PM6:00 PM - 10:00 PM,Thu11:30 AM - 3:00 PM6:00 PM - 10:00 PM,Fri11:30 AM - 3:00 PM6:00 PM - 10:30 PM,Sat6:00 PM - 10:30 PM",nil,"Seafood,Vegetarian Friendly,Vegan Options",40,40,35,45,4.0,246
621,Jaggi's Northern Indian Cuisine,"142 Race Course Road #34-36 Ritz @ Farrer, Singapore 218593 Singapore","Sun11:00 AM - 10:30 PM,Mon11:00 AM - 10:30 PM,Tue11:00 AM - 10:30 PM,Wed11:00 AM - 10:30 PM,Thu11:00 AM - 10:30 PM,Fri11:00 AM - 10:30 PM,Sat11:00 AM - 10:30 PM",,"Indian,Asian,Vegetarian Friendly",45,35,40,30,4.0,265
624,Amoy Street Food Centre,"7 Maxwell Road Mnd Building Annexe B Tanjong Pagar, Singapore 069111 Singapore","Sun08:00 AM - 9:00 PM,Mon06:30 AM - 9:00 PM,Tue06:30 AM - 9:00 PM,Wed06:30 AM - 9:00 PM,Thu06:30 AM - 9:00 PM,Fri06:30 AM - 9:00 PM,Sat08:00 AM - 9:00 PM",,"Quick Bites,Fast food,Asian",45,35,45,35,4.5,131
625,Ya Kun Kaya Toast,"65 Airport Boulevard Changi Airport Terminal 3 Changi Airport T3 Basement 2 South, Singapore 819663 Singapore","Sun08:30 AM - 5:30 PM,Mon07:30 AM - 7:00 PM,Tue07:30 AM - 7:00 PM,Wed07:30 AM - 7:00 PM,Thu07:30 AM - 7:00 PM,Fri07:30 AM - 7:00 PM,Sat08:30 AM - 5:30 PM",,"Quick Bites,Cafe,Fast food",40,35,45,40,4.0,220
626,Xi Yan Shaw,"1 Scotts Road Shaw Centre Shaw Centre, #03-12/13, Singapore 228208 Singapore","Sun11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Mon11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Tue11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Wed11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Thu11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Fri11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Sat11:30 AM - 3:00 PM5:30 PM - 10:00 PM",,"Seafood,Contemporary,Yunnan",40,40,40,40,4.0,165
627,Tatsuya,"22 Scotts Road Goodwood Park Hotel, Singapore 228221 Singapore","Sun12:00 PM - 03:00 AM,Mon12:00 PM - 03:00 AM,Tue12:00 PM - 03:00 AM,Wed12:00 PM - 03:00 AM,Thu12:00 PM - 03:00 AM,Fri12:00 PM - 03:00 AM,Sat12:00 PM - 03:00 AM",,"Japanese,Sushi,Asian",45,40,35,40,4.0,305
628,The Carvery,"323 Alexandra Road Alexandra Central Level 7, Park Hotel Alexandra, Singapore 159972 Singapore","Sun12:00 PM - 8:30 PM,Mon12:00 PM - 8:30 PM,Tue12:00 PM - 8:30 PM,Wed12:00 PM - 8:30 PM,Thu12:00 PM - 8:30 PM,Fri12:00 PM - 8:30 PM,Sat12:00 PM - 8:30 PM",,Contemporary,40,40,40,45,4.0,285
629,Thevar,"9 Keong Saik Road, Singapore 089117 Singapore",Sat5:30 PM - 11:30 PM,,"Indian,Fusion,Vegetarian Friendly",45,45,40,40,4.5,119
630,Fu Lin Bar &amp; Kitchen,"127 Telok Ayer Street, Singapore 068596 Singapore","Mon11:00 AM - 10:30 PM,Tue11:00 AM - 10:30 PM,Wed11:00 AM - 10:30 PM,Thu11:00 AM - 10:30 PM,Fri11:00 AM - 10:30 PM,Sat4:00 PM - 10:30 PM",nil,"Chinese,Asian,Grill",40,40,35,40,4.5,72
631,House of Wèi,"80 Bras Basah Road Fairmont Level 3, Fairmont, Singapore 189560 Singapore","Sun12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:30 PM",,"Chinese,Asian,Cantonese",40,40,30,40,4.0,307
632,elemen,"9 Raffles Boulevard Millenia Walk #01-75 Millenia Walk, Singapore 039596 Singapore","Sun11:30 AM - 4:00 PM5:30 PM - 10:00 PM,Mon11:30 AM - 4:00 PM5:30 PM - 10:00 PM,Tue11:30 AM - 4:00 PM5:30 PM - 10:00 PM,Wed11:30 AM - 4:00 PM5:30 PM - 10:00 PM,Thu11:30 AM - 4:00 PM5:30 PM - 10:00 PM,Fri11:30 AM - 4:00 PM5:30 PM - 10:00 PM,Sat11:30 AM - 4:00 PM5:30 PM - 10:00 PM",,"Asian,Fusion,Vegetarian Friendly",40,35,40,40,4.0,399
633,Open Farm Community,"130E Minden Road, Singapore 248819 Singapore","Sun11:00 AM - 10:00 PM,Mon12:00 PM - 10:00 PM,Tue12:00 PM - 10:00 PM,Wed12:00 PM - 10:00 PM,Thu12:00 PM - 10:00 PM,Fri12:00 PM - 10:00 PM,Sat11:00 AM - 10:00 PM",nil,"Fusion,Vegetarian Friendly,Vegan Options",40,40,35,45,4.0,576
635,Sun With Moon Japanese Dining &amp; Cafe,"501 Orchard Road Wheelock Place #03-15/16/17 Wheelock Place, Singapore 238880 Singapore","Sun11:30 AM - 2:45 PM5:30 PM - 9:30 PM,Mon11:30 AM - 2:45 PM5:30 PM - 9:30 PM,Tue11:30 AM - 2:45 PM5:30 PM - 9:30 PM,Wed11:30 AM - 2:45 PM5:30 PM - 9:30 PM,Thu11:30 AM - 2:45 PM5:30 PM - 9:30 PM,Fri11:30 AM - 2:45 PM5:30 PM - 9:30 PM,Sat11:30 AM - 2:45 PM5:30 PM - 9:30 PM",nil,"Japanese,Sushi,Asian",45,40,40,40,4.0,222
636,Dallas Restaurant &amp; Bar (Boat Quay),"31 Boat Quay, Singapore Singapore","Sun11:30 AM - 10:30 PM,Mon11:30 AM - 10:30 PM,Tue11:30 AM - 10:30 PM,Wed11:30 AM - 10:30 PM,Thu11:30 AM - 10:30 PM,Fri11:30 AM - 10:30 PM,Sat11:30 AM - 10:30 PM",nil,"American,Bar",45,45,40,45,4.0,216
637,328 Katong Laksa,"216 East Coast Road, Singapore 428914 Singapore","Sun08:00 AM - 9:00 PM,Mon08:00 AM - 9:00 PM,Tue08:00 AM - 9:00 PM,Wed08:00 AM - 9:00 PM,Thu08:00 AM - 9:00 PM,Fri08:00 AM - 9:00 PM,Sat08:00 AM - 9:00 PM",nil,"Quick Bites,Fast food,Asian",40,30,40,30,4.0,621
638,PX Hainanese Chicken Rice,"30 Airport Boulevard Changi Airport Terminal 4 #02-205 NTUC Food Emporium Mini Restaurant 4, Singapore 819662 Singapore","Sun06:00 AM - 11:00 PM,Mon06:00 AM - 11:00 PM,Tue06:00 AM - 11:00 PM,Wed06:00 AM - 11:00 PM,Thu06:00 AM - 11:00 PM,Fri06:00 AM - 11:00 PM,Sat06:00 AM - 11:00 PM",,"Chinese,Fast food,Asian",50,45,50,nil,5.0,65
639,Element at  Amara Singapore Hotel,"165 Tanjong Pagar Road Amara Singapore, Singapore 088539 Singapore","Sun06:30 AM - 10:30 PM,Mon06:30 AM - 10:30 PM,Tue06:30 AM - 10:30 PM,Wed06:30 AM - 10:30 PM,Thu06:30 AM - 10:30 PM,Fri06:30 AM - 10:30 PM,Sat06:30 AM - 10:30 PM",nil,"Seafood,International,Vegetarian Friendly",35,40,35,40,4.0,304
641,Two Men Bagel House,"No. 16 Enggor Street Altez #01-12, Singapore 079717 Singapore","Sun09:00 AM - 4:00 PM,Mon08:00 AM - 4:00 PM,Tue08:00 AM - 4:00 PM,Wed08:00 AM - 4:00 PM,Thu08:00 AM - 4:00 PM,Fri08:00 AM - 4:00 PM,Sat09:00 AM - 4:00 PM",,"Quick Bites,American,Cafe",45,40,40,nil,4.5,122
642,Xin Cuisine Chinese restaurant,"317 Outram Road Singapore 169075 Holiday Inn Singapore Atrium, Singapore 169075 Singapore","Sun11:30 AM - 3:00 PM5:30 PM - 9:30 PM,Wed11:30 AM - 3:00 PM5:30 PM - 9:30 PM,Thu11:30 AM - 3:00 PM5:30 PM - 9:30 PM,Fri11:30 AM - 3:00 PM5:30 PM - 9:30 PM,Sat11:30 AM - 3:00 PM5:30 PM - 9:30 PM",nil,"Chinese,Asian,Cantonese",40,40,35,40,4.5,139
643,Shahi Maharani North Indian Restaurant,"252 North Bridge Road #03-21B Raffles City Shopping Centre, Singapore 179103 Singapore","Sun12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Mon12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Tue12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Sat12:00 PM - 2:30 PM6:30 PM - 10:30 PM",,"Indian,Asian,Vegetarian Friendly",40,40,35,40,4.0,320
644,Ruth's Chris Steak House,"6 Raffles Boulevard PARKROYAL COLLECTION Marina Bay, 4th Level, Singapore 039594 Singapore","Sun11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Tue11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Wed11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Thu11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Fri11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Sat11:30 AM - 3:00 PM5:30 PM - 10:00 PM",nil,"American,Steakhouse",45,45,35,40,4.0,280
645,Chicken Up,"48 Tanjong Pagar Road #01-01, Singapore 088469 Singapore","Sun5:30 PM - 02:00 AM,Mon5:30 PM - 02:00 AM,Tue5:30 PM - 02:00 AM,Wed5:30 PM - 02:00 AM,Thu5:30 PM - 02:00 AM,Fri5:30 PM - 03:00 AM,Sat5:30 PM - 03:00 AM",,"Asian,Korean",40,40,40,35,4.0,289
647,Mazzo Restaurant &amp; Bar,"54 Club Street, Singapore 069431 Singapore","Mon3:00 PM - 10:30 PM,Tue3:00 PM - 10:30 PM,Wed3:00 PM - 10:30 PM,Thu3:00 PM - 10:30 PM,Fri3:00 PM - 10:30 PM,Sat3:00 PM - 10:30 PM",,"Italian,Pizza,European",50,50,45,nil,4.5,51
648,Newton Hawker Centre,"130A Clemenceau Avenue Newton Circus, Singapore 239928 Singapore","Sun12:00 PM - 02:00 AM,Mon12:00 PM - 02:00 AM,Tue12:00 PM - 02:00 AM,Wed12:00 PM - 02:00 AM,Thu12:00 PM - 02:00 AM,Fri12:00 PM - 02:00 AM,Sat12:00 PM - 02:00 AM",,"Chinese,Seafood,Asian",40,35,40,40,3.5,814
649,Luka ITALIAN - DINING / PIZZA / BAR,"18 Tanjong Pagar Road, Singapore 088441 Singapore","Sun6:00 PM - 9:30 PM,Mon12:00 PM - 11:00 PM,Tue12:00 PM - 11:00 PM,Wed12:00 PM - 11:00 PM,Thu12:00 PM - 11:00 PM,Fri12:00 PM - 11:00 PM,Sat12:00 PM - 11:00 PM",nil,"Italian,Japanese,Vegetarian Friendly",45,45,40,45,4.0,118
651,Shangri-la's Rasa Sentosa Resort Restaurants,"101 Siloso Road Shangri-La's Rasa Sentosa Resort &amp; Spa Shangri-La Rasa Sentosa, Singapore 098970 Singapore",None,,"Italian,Chinese,Vegetarian Friendly",45,45,40,40,4.5,180
653,Tachinomiya Japanese Izakaya &amp; Bar,"211 Hougang Street 21 #01-285, Singapore 530211 Singapore","Sun11:30 AM - 12:00 AM,Mon11:30 AM - 2:30 PM5:30 PM - 12:00 AM,Tue11:30 AM - 2:30 PM5:30 PM - 12:00 AM,Wed11:30 AM - 2:30 PM5:30 PM - 12:00 AM,Thu11:30 AM - 2:30 PM5:30 PM - 12:00 AM,Fri11:30 AM - 2:30 PM5:30 PM - 12:00 AM,Sat11:30 AM - 12:00 AM",nil,"Japanese,Bar,Barbecue",50,45,50,nil,5.0,35
654,Shinji by Kanesaka,"29 Tanglin Road St. Regis Hotel Singapore The St. Regis Hotel, Singapore 247911 Singapore","Mon12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Tue12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Wed12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Thu12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Fri12:00 PM - 3:00 PM6:00 PM - 10:30 PM,Sat12:00 PM - 3:00 PM6:00 PM - 10:30 PM",,"Japanese,Seafood,Sushi",50,45,40,50,4.5,104
655,YY Kafei Dian,"37 Beach Rd, Singapore Singapore",None,,"Quick Bites,Asian,Singaporean",40,35,40,40,4.0,138
656,The Peranakan,"442 Orchard Road Orchard Hotel Singapore Level 2, Unit 02-01. Claymore Connect, Singapore 238879 Singapore","Sun11:30 AM - 9:00 PM,Mon11:30 AM - 9:00 PM,Tue11:30 AM - 9:00 PM,Wed11:30 AM - 9:00 PM,Thu11:30 AM - 9:00 PM,Fri11:30 AM - 9:00 PM,Sat11:30 AM - 9:00 PM",,"Singaporean,Nonya/Malaysian,Vegetarian Friendly",40,40,35,45,4.0,220
657,RedDot BrewHouse Dempsey,"25A Dempsey Road, Singapore 247691 Singapore","Sun11:30 AM - 10:00 PM,Mon12:00 PM - 10:15 PM,Tue12:00 PM - 10:15 PM,Wed12:00 PM - 10:15 PM,Thu12:00 PM - 10:15 PM,Fri12:00 PM - 10:15 PM,Sat12:00 PM - 10:15 PM",,"Bar,European,Pub",40,40,35,45,4.0,293
660,VeganBurg,"44 Jalan Eunos, Singapore 419502 Singapore","Sun11:30 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat11:30 AM - 10:00 PM",,"Quick Bites,American,Fast food",40,40,40,40,4.0,178
661,Chopsuey Cafe,"10 Dempsey Road #01-23, Singapore 247700 Singapore","Sun11:30 AM - 11:00 PM,Mon11:30 AM - 11:00 PM,Tue11:30 AM - 11:00 PM,Wed11:30 AM - 11:00 PM,Thu11:30 AM - 11:00 PM,Fri11:30 AM - 11:30 PM,Sat11:30 AM - 11:30 PM",,"Chinese,Asian,Fusion",45,40,35,45,4.0,187
662,Indian Express,"38 Race Course Road, Singapore 218555 Singapore","Sun12:00 PM - 11:00 PM,Mon12:00 PM - 11:00 PM,Tue12:00 PM - 11:00 PM,Wed12:00 PM - 11:00 PM,Thu12:00 PM - 11:00 PM,Fri12:00 PM - 11:00 PM,Sat12:00 PM - 11:00 PM",,"Indian,Asian,Vegetarian Friendly",40,40,40,35,4.0,166
663,Capri Trattoria &amp; Pizzeria,"3 Binjai Park Binjai Park 3 Binjai Park, Singapore 589819 Singapore","Sun12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:30 PM",,"Italian,Pizza,Mediterranean",45,40,40,40,4.5,164
664,Vespetta Italian Restaurant,"40 Boat Quay, Singapore 049829 Singapore","Sun12:00 PM - 3:00 PM5:30 PM - 11:00 PM,Mon12:00 PM - 3:00 PM5:30 PM - 11:00 PM,Tue12:00 PM - 3:00 PM5:30 PM - 11:00 PM,Wed12:00 PM - 3:00 PM5:30 PM - 11:00 PM,Thu12:00 PM - 3:00 PM5:30 PM - 11:00 PM,Fri12:00 PM - 3:00 PM5:30 PM - 11:00 PM,Sat12:00 PM - 3:00 PM5:30 PM - 11:00 PM",,"Italian,Pizza,Mediterranean",45,45,40,40,4.5,141
666,Komala's Restaurant,"330 Serangoon Road #328-332, Singapore 218113 Singapore",None,,"Indian,Fast food,Asian",40,40,40,35,4.0,258
667,Ananda Bhavan,"Block 663, 01-10, Buffalo Rd Little India, Singapore 217964 Singapore","Sun07:30 AM - 10:00 PM,Mon07:30 AM - 10:00 PM,Tue07:30 AM - 10:00 PM,Wed07:30 AM - 10:00 PM,Thu07:30 AM - 10:00 PM,Fri07:30 AM - 10:00 PM,Sat07:30 AM - 10:00 PM",,"Quick Bites,Indian,Asian",40,35,40,35,4.0,330
668,Pince and Pints (Duxton),"33 Duxton Road, Singapore 089497 Singapore","Sun12:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM5:30 PM - 10:00 PM,Tue12:00 PM - 2:30 PM5:30 PM - 10:00 PM,Wed12:00 PM - 2:30 PM5:30 PM - 10:00 PM,Thu12:00 PM - 2:30 PM5:30 PM - 10:00 PM,Fri12:00 PM - 2:30 PM5:30 PM - 10:00 PM,Sat12:00 PM - 10:00 PM",,"Bar,Seafood,Grill",40,40,35,35,4.0,294
669,D.O.P Mozzarella Bar &amp; Restaurant,"60 Robertson Quay The Quayside #01-04a, Singapore 238252 Singapore","Sun12:00 PM - 3:00 PM5:00 PM - 11:30 PM,Tue5:00 PM - 11:30 PM,Wed5:00 PM - 11:30 PM,Thu5:00 PM - 11:30 PM,Fri12:00 PM - 3:00 PM5:00 PM - 11:30 PM,Sat12:00 PM - 3:00 PM5:00 PM - 11:30 PM",,"Italian,Mediterranean,European",45,40,40,35,4.5,117
670,Wanton,"52 Amoy Street, Singapore 069878 Singapore","Mon11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:30 AM - 2:30 PM6:00 PM - 11:00 PM,Sat6:00 PM - 11:00 PM",,"Chinese,Asian,Singaporean",40,45,40,40,4.0,140
672,L'Angélus,"85 Club Street, Singapore 069453 Singapore","Mon12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat6:00 PM - 10:30 PM",,"French,European",40,40,35,40,4.0,212
673,Tien Court Restaurant,"403 Havelock Road Copthorne King's Hotel, Singapore 169632 Singapore","Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",,"Chinese,Asian,Cantonese",40,40,35,40,4.0,117
674,Pasta Fresca Da Salvatore,"30 Boat Quay, Singapore 049819 Singapore","Sun11:30 AM - 11:00 PM,Mon11:30 AM - 11:00 PM,Tue11:30 AM - 11:00 PM,Wed11:30 AM - 11:00 PM,Thu11:30 AM - 11:00 PM,Fri11:30 AM - 11:00 PM,Sat11:30 AM - 11:00 PM",,"Italian,Pizza,Mediterranean",40,40,35,40,4.0,330
675,Tiong Bahru Bakery,"310 Orchard Road Tangs Orchard #L1-16b, Singapore 238864 Singapore","Sun08:00 AM - 9:00 PM,Mon08:00 AM - 10:00 PM,Tue08:00 AM - 10:00 PM,Wed08:00 AM - 10:00 PM,Thu08:00 AM - 10:00 PM,Fri08:00 AM - 10:00 PM,Sat08:00 AM - 10:00 PM",,"Bakeries,French,Cafe",40,40,35,45,4.0,198
676,Sinfonia Ristorante,"11 Empress Place Victoria Memorial Hall 01-01 Victoria Concert Hall, Singapore 179558 Singapore","Sun12:00 PM - 3:00 PM,Mon12:00 PM - 3:00 PM,Tue12:00 PM - 3:00 PM6:00 PM - 11:00 PM,Wed12:00 PM - 3:00 PM6:00 PM - 11:00 PM,Thu12:00 PM - 3:00 PM6:00 PM - 11:00 PM,Fri12:00 PM - 3:00 PM6:00 PM - 11:00 PM,Sat12:00 PM - 3:00 PM6:00 PM - 11:00 PM",,"Italian,European,Vegetarian Friendly",45,45,40,45,4.5,130
678,Don Quijote Spanish Restaurant,"7 Dempsey Road #01-02, Singapore 249684 Singapore","Sun11:00 AM - 10:30 PM,Mon4:00 PM - 10:30 PM,Tue4:00 PM - 10:30 PM,Wed4:00 PM - 10:30 PM,Thu4:00 PM - 01:00 AM,Fri4:00 PM - 01:00 AM,Sat11:00 AM - 01:00 AM",,"Mediterranean,European,Spanish",40,40,35,40,4.0,331
679,Original Sin,"#01, 43 Jln Merah Saga, 62 Holland Village Chip Bee Gardens, Singapore 278115 Singapore","Sun11:30 AM - 2:30 PM6:00 PM - 10:30 PM,Mon11:30 AM - 2:30 PM6:00 PM - 10:30 PM,Tue11:30 AM - 2:30 PM6:00 PM - 10:30 PM,Wed11:30 AM - 2:30 PM6:00 PM - 10:30 PM,Thu11:30 AM - 2:30 PM6:00 PM - 10:30 PM,Fri11:30 AM - 2:30 PM6:00 PM - 10:30 PM,Sat11:30 AM - 2:30 PM6:00 PM - 10:30 PM",,"Mediterranean,Vegetarian Friendly,Vegan Options",40,40,35,40,4.0,340
680,Prive Wheelock,"501 Orchard Road Wheelock Place, Singapore 238880 Singapore","Sun09:00 AM - 11:00 PM,Mon09:00 AM - 11:00 PM,Tue09:00 AM - 11:00 PM,Wed09:00 AM - 11:00 PM,Thu09:00 AM - 11:00 PM,Fri09:00 AM - 11:00 PM,Sat09:00 AM - 11:00 PM",,"Bar,Cafe,Vegetarian Friendly",35,35,35,40,4.0,313
681,Min Jiang Goodwood Park Hotel,"Goodwood Park Hotel 22 Scotts Road, Singapore 228221 Singapore","Sun11:00 AM - 2:30 PM6:30 PM - 10:30 PM,Mon11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Tue11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Wed11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Thu11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Fri11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Sat11:00 AM - 2:30 PM6:30 PM - 10:30 PM",,"Chinese,Asian,Szechuan",45,40,40,40,4.0,259
683,JUMBO Seafood (Riverside Point),"30 Merchant Road Riverside Point Floor 01 Unit 02 01 #01-01/02, Singapore 058282 Singapore","Sun11:30 AM - 2:30 PM5:30 PM - 10:00 PM,Mon11:30 AM - 2:30 PM5:30 PM - 10:00 PM,Tue11:30 AM - 2:30 PM5:30 PM - 10:00 PM,Wed11:30 AM - 2:30 PM5:30 PM - 10:00 PM,Thu11:30 AM - 2:30 PM5:30 PM - 10:00 PM,Fri11:30 AM - 2:30 PM5:30 PM - 10:00 PM,Sat11:30 AM - 2:30 PM5:30 PM - 10:00 PM",,"Chinese,Seafood,Asian",40,35,35,35,4.0,"3,100"
684,Man Man Japanese Unagi Restaurant,"1 Keong Saik Road #01-01, Singapore 089109 Singapore",None,,"Japanese,Asian",45,40,40,nil,4.0,179
685,Super Dario Lasagne Cafe,"180 Kitchener Road City Square Mall Farrer Park Mrt, Singapore 208539 Singapore","Sun11:00 AM - 9:30 PM,Mon11:00 AM - 9:30 PM,Tue11:00 AM - 9:30 PM,Wed11:00 AM - 9:30 PM,Thu11:00 AM - 9:30 PM,Fri11:00 AM - 9:30 PM,Sat11:00 AM - 9:30 PM",,"Italian,Cafe,European",45,45,45,50,4.5,106
686,Komyuniti Bar &amp; Restaurant,"366 Orchard Road Yotel Singapore Orchard Road Level 10 , Yotel Singapore, Singapore 238904 Singapore","Sun06:30 AM - 11:00 PM,Mon06:30 AM - 11:00 PM,Tue06:30 AM - 11:00 PM,Wed06:30 AM - 11:00 PM,Thu06:30 AM - 11:00 PM,Fri12:00 AM - 01:00 AM06:30 AM - 01:00 AM,Sat06:30 AM - 12:00 AM",,"Bar,International,Asian",40,45,40,nil,4.5,86
687,Metropolitan YMCA Restaurant,"60 Stevens Road Metro-y Stevens, Singapore 257854 Singapore","Sun11:30 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat11:30 AM - 10:00 PM",,"Chinese,Asian,Indonesian",45,45,45,40,4.5,67
689,Spring Court Restaurant,"56 Upper Cross Street, Singapore 058348 Singapore","Sun11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Mon11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Sat11:00 AM - 2:30 PM6:00 PM - 10:00 PM",nil,"Chinese,Asian,Cantonese",40,40,35,40,4.0,294
690,Wildseed Cafe at The Alkaff Mansion,"10 Telok Blangah Green Alkaff Mansion Level 1, Singapore 109178 Singapore","Sun08:00 AM - 4:00 PM,Mon08:00 AM - 4:00 PM,Tue08:00 AM - 4:00 PM,Wed08:00 AM - 4:00 PM,Thu08:00 AM - 4:00 PM,Fri08:00 AM - 4:00 PM,Sat08:00 AM - 4:00 PM",nil,"Cafe,Vegetarian Friendly",40,40,35,45,4.0,146
691,Ushidoki Wagyu Kaiseki,"57 Tras Street #01-01, Singapore 078996 Singapore","Mon12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat6:00 PM - 10:30 PM",,"Japanese,Asian",45,50,40,45,4.5,61
692,Verre Modern Bistro &amp; Wine Bar,"8 Rodyk Street 8 Rodyk Floor 01 Unit 05 06, Singapore 238216 Singapore","Sun3:00 PM - 11:00 PM,Mon4:00 PM - 12:00 AM,Tue4:00 PM - 12:00 AM,Wed4:00 PM - 12:00 AM,Thu4:00 PM - 12:00 AM,Fri4:00 PM - 12:00 AM,Sat3:00 PM - 12:00 AM",,"French,International,European",40,45,40,40,4.0,155
693,Min Jiang at Dempsey,"7A Dempsey Road, Singapore 249684 Singapore","Sun11:00 AM - 2:30 PM6:30 PM - 10:30 PM,Mon11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Tue11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Wed11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Thu11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Fri11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Sat11:00 AM - 2:30 PM6:30 PM - 10:30 PM",,"Chinese,Asian,Vegetarian Friendly",45,40,35,40,4.0,279
