,name,location,working_hours,price_range,tags,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt
0,BAM! Restaurant,"38 Tras Street #38-40, Singapore 078977 Singapore","<div class=""fUbTx"">Tue</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:00</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>10:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Wed</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:00</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>10:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Thu</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:00</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>10:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Fri</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:00</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>10:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Sat</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:00</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>10:30</span><span>&nbsp;PM</span></span></div></div>",,"Spanish,Fusion,Japanese Fusion",45,45,40,45,4.5,226
1,Entre-Nous creperie,"27 Seah Street # 01-01, Singapore 188383 Singapore","<div class=""fUbTx"">Sun</div><div class=""cFfqI""><div><span><span>11:00</span><span>&nbsp;AM</span></span><span> - </span><span><span>4:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Tue</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:30</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>9:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Wed</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:30</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>9:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Thu</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:30</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>9:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Fri</div><div class=""cFfqI""><div><span><span>12:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>2:30</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>9:30</span><span>&nbsp;PM</span></span></div></div>,<div class=""fUbTx"">Sat</div><div class=""cFfqI""><div><span><span>11:00</span><span>&nbsp;AM</span></span><span> - </span><span><span>3:00</span><span>&nbsp;PM</span></span></div><div><span><span>6:00</span><span>&nbsp;PM</span></span><span> - </span><span><span>9:30</span><span>&nbsp;PM</span></span></div></div>",,"French,European,Healthy",50,50,45,40,5.0,"1,555"
