,name,business_status,formatted_address,lat,lng,icon,icon_bg_color,icon_mask_base_uri,photo,place_id,compound_code,global_code,rating,reference,ratings_cnt,point_of_interest,cafe,car_wash,movie_theater,spa,pet_store,movie_rental,airport,city_hall,bus_station,florist,department_store,pharmacy,general_contractor,health,local_government_office,finance,transit_station,school,meal_takeaway,furniture_store,physiotherapist,grocery_or_supermarket,bar,shoe_store,food,library,museum,bakery,subway_station,store,home_goods_store,park,restaurant,clothing_store,electronics_store,night_club,supermarket,gas_station,tourist_attraction,travel_agency,stadium,shopping_mall,convenience_store,lodging,meal_delivery,parking,route,jewelry_store,gym,post_office,aquarium,amusement_park,establishment,hair_care,art_gallery,beauty_salon,liquor_store,zoo,book_store
210,Fitness First - Changi (UE Biz Hub),OPERATIONAL,"6 Changi Business Park Avenue 1, North Tower, #02-21 UE BizHub East, 486017",1.3350808,103.9641568,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uEAL0i4winbV15bjHxvjMxljOvtlkk1cNBzw3pdqAxguXFRecEOaABNLD0OmOlKL5ziFhqqSiQ3evJgtb1GiYe46dmJgB6Q57EICi9o1PJcb2T53ILtv4zHQWg2xstIXq0YXrivk2JLbQKtQ-onzOTx1kxzeEYmFnOXJYZ6iZPI1Ialc,ChIJ6WoXNNg82jERpjK-x8f2-GY,8XP7+2M Singapore,6PH58XP7+2M,4.3,ChIJ6WoXNNg82jERpjK-x8f2-GY,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
211,Extreme Fitness,OPERATIONAL,"1 W Coast Dr, #01-24, Singapore 128020",1.3164853,103.7573965,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uEAfMZNQnUwEmehAvlMJ91GmZWxEdnC9-f0IMMTUeoEotJmKZVYbeP-czOGCW1cGjUzWKLKxM7n3gOAegXfleBL-sgPjJr0wvEpgQsMnWr4jHWzkgp1LtdbQJSuHUx9CIA39jtipQMtWOZ1an0bYeNJqpC1mITFc_Yr2CwbOOp4Kgy1i,ChIJkwuCZo0a2jERBjD87h8bak0,8Q84+HX Singapore,6PH58Q84+HX,4.6,ChIJkwuCZo0a2jERBjD87h8bak0,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
212,Freedom Gym,OPERATIONAL,"5 Shenton Way, #02-01 UIC Building, Singapore 068808",1.2770884,103.8491841,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uEA0GU276ZRE3YZmbniyiidqW33CPbwjTtirUwOGC_bau665U6tbEiz-xkqposd0HSf-xqKaAL2VSA3KarOB5hzisSk1aYCqDsCB2JrJN3SbWtwHmRjDW2uYGV0jSs97zRkMmKE-NM_Qe-yXsqte7D3uvRYiIpiMFKH2q_aHoawzLqye,ChIJUZJ1UfYZ2jER52ZrV-FGmPA,7RGX+RM Singapore,6PH57RGX+RM,5,ChIJUZJ1UfYZ2jER52ZrV-FGmPA,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
213,Anytime Fitness,OPERATIONAL,"11 Tanjong Katong Rd, Singapore 437157",1.3143724,103.8944394,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uEA0EaQdxIYWNiB1Xw8wLDJHKnyaQXaQjwLVM5gOVNFA417QiVIiK66QVzfiEaI_01KPtb_cR_z4NNakAt7vtL9cQt5aZpuhlLpih4bwoLkJ90nUThdVT98ia8kIAnd-4IucpXIs-rTLGjJDiSIIElVnHr_yRmYjwBy1M8UiFjOel-kY,ChIJUa4-4xYY2jERzTkowOfjaQI,8V7V+PQ Singapore,6PH58V7V+PQ,3.8,ChIJUa4-4xYY2jERzTkowOfjaQI,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
214,Enabling Village ActiveSG Gym,OPERATIONAL,"20 Lengkok Bahru, #01-05 Enabling Village, Singapore 159053",1.2872434,103.8148244,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uEC81vuh8H2ClLypOPqX3SKeuYU5-JRrkHxwmqewqFqRa9rg05RcsE302zcif4qlPaRjHQ_Mf7pOHe1R10SjwT0n9SX_21jZfi82Yy-MZLQh4Nkcg23rJpZrvks9JXvP7T6GuL7A1BsQGWV8yRSFlN7VV6MCOUe7APoiiCL2bduWHQkP,ChIJz8lHcdMb2jER5xgr8Fej9lQ,7RP7+VW Singapore,6PH57RP7+VW,3.9,ChIJz8lHcdMb2jER5xgr8Fej9lQ,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
215,Dynamic Fitness Gym,OPERATIONAL,"48 Yio Chu Kang Rd, Singapore 545559",1.3570586,103.8757858,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uECjNPACzgSfpa4KEqOtwAKwPjAHkA8DyP1LT-r7cSnt36S0xcnGy7QGmFLZXMzMY8VA8V4UFWMqJSXlYIcM43VPy5LUlr23mKBdZ8zTUwOEgRDr6xiBIpIp_OD0f8pvnVolooUiP7TZzQUQ24uKm87RGonFxErwhDEZH7KKdOiWSuE,ChIJGzyc464X2jERDWmBkpT8KiQ,9V4G+R8 Singapore,6PH59V4G+R8,4.7,ChIJGzyc464X2jERDWmBkpT8KiQ,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
216,Fitness Factory,OPERATIONAL,"82 Boat Quay, #02-01, Singapore 049870",1.2884707,103.8492725,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uECNoEiLhBcs-Zb1VUw5eZTHzZ3PUzsFN7c8jWNlCup0V_3FeB8DMP-oGJYAqh2SrTKC76oaz_x-QGA-NeFeEe-iROiZia7c8z1mtRrIFdGnu7Da8QcW7fYymRTbFBwZm2tvDbvMtXeutH2l1W07OkLvS71YPV5Fj9RVm_JXsfM6hIJu,ChIJF1xIDQoZ2jERfaUJRkPjqjo,7RQX+9P Singapore,6PH57RQX+9P,4.7,ChIJF1xIDQoZ2jERfaUJRkPjqjo,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
217,Jurong East ActiveSG Gym,OPERATIONAL,"21 Jurong East Street 31, Singapore 609517",1.346852,103.729195,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uEAEyjdDn4-AYvQlDkqxoq1gQ9vK5VfLAYFETJFCHkFzekrzRItYa42tqcbkB96mVCPo2IsbWtqdYG-FVKD7B2U3S4INHumAcFirQiTcovIyGp9nHAdlh055kuFTQ55tdME-D9akBR3vQpl09PotsbM5aT6JtfZ1sosDSdEJxKl8E7JE,ChIJWaHnCyAQ2jERPzL-9jFkzWA,8PWH+PM Singapore,6PH58PWH+PM,4,ChIJWaHnCyAQ2jERPzL-9jFkzWA,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
218,Fitness First - Westgate,OPERATIONAL,"3 Gateway Drive mall, #05-01 Westgate, 608532",1.3343179,103.7429477,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uEBCZhL_pspGtRhuqpKxbVYSzKdKD_Va2u7ctvxySk8bLYHOAcrlrWESeQCnRptZolHQuN_aEyGcdIEtAFVUrGklYhOkacbFVEC9Ju1iLBXAwlGT5Gkpifj5iWLH6LqaYj7wHQ3qT7XyfOhFgLoL2WVef9g_T_YJqjDxKOy9zA_ugAeY,ChIJu9W1vw8Q2jERfFfvL_j9NVY,8PMV+P5 Singapore,6PH58PMV+P5,4.1,ChIJu9W1vw8Q2jERfFfvL_j9NVY,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
219,Anytime Fitness Kovan,OPERATIONAL,"JForte Sportainment Centre, 50 Hougang Ave 1, Level 2, 538885",1.3603335,103.8881005,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aap_uEA98dzYWMrO-me3iv7twvN0-BLqkWDKktzzYN4RaD6K2m1DU4EhiTfYqO07aPfBzoucYiXDWZZqT135c54R32CaAL23J2mBzh-rXymGCZ-STyGbjmXzu4Bi1inPxbK3i7TfWl1D-QgR7h8r8Hej2s8iwSo6RQqgx4tD3JvIllQiE0BF,ChIJk4DuSrQX2jEREXTna9XgYf0,9V6Q+46 Singapore,6PH59V6Q+46,4.5,ChIJk4DuSrQX2jEREXTna9XgYf0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
